method,iter,quality_score,diagnostic_score,cust_column_shapes,cust_pair_trends,txn_column_shapes,cross_table_mad,ia_ks_pvalue,autocorr_mae,new_row_synthesis,dcr_protection
M1 HMA-GC,49,0.8688,1.0,0.9375,0.7435,0.8633,0.3812,0.0,0.0867,,
M2 CTGAN,49,0.8467,0.9994,0.839,0.5609,0.9099,0.4007,0.0242,0.009,,
M3 PAR,49,0.5714,0.7443,0.7854,0.5351,0.7871,0.3212,0.0,0.053,,
M4 TVAE,49,0.8839,1.0,0.7901,0.7928,0.8265,0.3831,0.0,0.0321,,
M5 MST-DP,49,0.9248,0.9997,0.9262,0.8224,0.847,0.3921,0.0,0.5615,,
M1 HMA-GC,50,0.8751,1.0,0.9399,0.7353,0.8633,0.3902,0.0,0.085,,
M2 CTGAN,50,0.8616,0.9998,0.844,0.5548,0.9057,0.4084,0.0091,0.0151,,
M3 PAR,50,0.5864,0.7457,0.7776,0.5461,0.7803,0.3041,0.0,0.0562,,
M4 TVAE,50,0.8934,1.0,0.7969,0.7833,0.8269,0.4007,0.0,0.0193,,
M5 MST-DP,50,0.931,0.9996,0.9239,0.8372,0.8457,0.381,0.0,0.5434,,
M1 HMA-GC,51,0.8701,1.0,0.9358,0.7332,0.8658,0.3801,0.0,0.0673,,
M2 CTGAN,51,0.8468,1.0,0.8359,0.5608,0.9093,0.3962,0.0013,0.0101,,
M3 PAR,51,0.5696,0.7403,0.7863,0.5561,0.7826,0.3061,0.0,0.0138,,
M4 TVAE,51,0.8859,1.0,0.7953,0.7813,0.828,0.3884,0.0,0.013,,
M5 MST-DP,51,0.9252,0.9996,0.9226,0.8378,0.8491,0.3864,0.0,0.5862,,
M1 HMA-GC,52,0.8797,0.9982,0.9415,0.7206,0.8646,0.3807,0.0,0.062,,
M2 CTGAN,52,0.8467,0.9992,0.8344,0.5594,0.905,0.3823,0.0032,0.0012,,
M3 PAR,52,0.6303,0.7329,0.7735,0.5404,0.784,0.3343,0.0,0.0168,,
M4 TVAE,52,0.8886,0.9988,0.7935,0.7933,0.8274,0.4011,0.0,0.0104,,
M5 MST-DP,52,0.8594,0.9997,0.9231,0.8514,0.8458,0.3705,0.0,0.5327,,
M1 HMA-GC,53,0.8775,1.0,0.937,0.7198,0.866,0.3817,0.0,0.079,,
M2 CTGAN,53,0.8364,1.0,0.8366,0.5606,0.9066,0.4006,0.0012,0.0112,,
M3 PAR,53,0.6355,0.7429,0.7841,0.5437,0.78,0.2932,0.0,0.0284,,
M4 TVAE,53,0.8761,1.0,0.7937,0.766,0.8223,0.383,0.0,0.0305,,
M5 MST-DP,53,0.8502,0.9996,0.915,0.8269,0.8468,0.3941,0.0,0.5638,,
M1 HMA-GC,54,0.879,1.0,0.933,0.725,0.8665,0.3822,0.0,0.0949,,
M2 CTGAN,54,0.8334,0.9996,0.8345,0.5633,0.9091,0.387,0.0475,0.0212,,
M3 PAR,54,0.6364,0.734,0.7892,0.5556,0.7824,0.3047,0.0,0.0722,,
M4 TVAE,54,0.8795,1.0,0.7995,0.7841,0.8259,0.3845,0.0,0.0427,,
M5 MST-DP,54,0.8518,0.9993,0.9255,0.8413,0.8518,0.3879,0.0,0.5638,,
M1 HMA-GC,55,0.8814,1.0,0.9358,0.7202,0.8669,0.3929,0.0,0.0772,,
M2 CTGAN,55,0.8426,1.0,0.8425,0.5441,0.9054,0.4142,0.0241,0.0137,,
M3 PAR,55,0.643,0.7489,0.785,0.5444,0.7861,0.3065,0.0,0.0179,,
M4 TVAE,55,0.8782,1.0,0.7879,0.7857,0.824,0.3961,0.0,0.0315,,
M5 MST-DP,55,0.8503,0.9997,0.9212,0.8373,0.8506,0.3986,0.0,0.5597,,
M1 HMA-GC,56,0.8761,1.0,0.936,0.7195,0.8657,0.3688,0.0,0.0879,,
M2 CTGAN,56,0.8423,0.9999,0.831,0.5673,0.9077,0.3999,0.0045,0.0238,,
M3 PAR,56,0.6361,0.7466,0.7829,0.5489,0.7803,0.2913,0.0,0.0583,,
M4 TVAE,56,0.873,1.0,0.7846,0.7687,0.8233,0.3841,0.0,0.0365,,
M5 MST-DP,56,0.8484,0.9995,0.9242,0.829,0.8411,0.3687,0.0,0.5608,,
M1 HMA-GC,57,0.8855,1.0,0.9406,0.749,0.8627,0.3665,0.0,0.0614,,
M2 CTGAN,57,0.8404,0.9999,0.8399,0.5558,0.9093,0.3847,0.0492,0.0055,,
M3 PAR,57,0.6309,0.7426,0.7793,0.5536,0.7815,0.2582,0.0,0.0236,,
M4 TVAE,57,0.8725,1.0,0.798,0.7729,0.822,0.3862,0.0,0.0146,,
M5 MST-DP,57,0.8507,0.9996,0.92,0.8465,0.8483,0.3784,0.0,0.5521,,
M1 HMA-GC,58,0.8819,1.0,0.9352,0.7285,0.8654,0.376,0.0,0.0851,,
M2 CTGAN,58,0.8498,0.9991,0.8432,0.5598,0.9102,0.3874,0.0266,0.0135,,
M3 PAR,58,0.6429,0.7429,0.7811,0.5294,0.7832,0.3136,0.0,0.0554,,
M4 TVAE,58,0.8796,0.9998,0.7956,0.7701,0.827,0.3869,0.0,0.0386,,
M5 MST-DP,58,0.8618,0.9996,0.9207,0.8389,0.8462,0.3718,0.0,0.5743,,
M1 HMA-GC,59,0.8725,1.0,0.937,0.7161,0.8616,0.389,0.0,0.0773,,
M2 CTGAN,59,0.8617,0.9997,0.8411,0.5645,0.9061,0.3968,0.0006,0.0108,,
M3 PAR,59,0.5745,0.745,0.778,0.5417,0.7788,0.3119,0.0,0.0362,,
M4 TVAE,59,0.8873,1.0,0.7922,0.7851,0.8273,0.3975,0.0,0.0223,,
M5 MST-DP,59,0.9283,0.9998,0.9252,0.8238,0.8479,0.3873,0.0,0.5504,,
M1 HMA-GC,60,0.8712,0.9999,0.9343,0.738,0.8631,0.3917,0.0,0.0966,,
M2 CTGAN,60,0.8579,0.9995,0.8304,0.5625,0.9067,0.4013,0.0382,0.0183,,
M3 PAR,60,0.5812,0.7455,0.7775,0.5228,0.7827,0.2821,0.0,0.0473,,
M4 TVAE,60,0.889,0.9999,0.792,0.7939,0.8267,0.3906,0.0,0.0297,,
M5 MST-DP,60,0.9259,0.9996,0.9227,0.8113,0.8495,0.3858,0.0,0.5599,,
M1 HMA-GC,61,0.8831,1.0,0.9315,0.7234,0.8653,0.3931,0.0,0.0662,,
M2 CTGAN,61,0.8495,1.0,0.842,0.5587,0.9092,0.4096,0.0628,0.0013,,
M3 PAR,61,0.6443,0.7454,0.7846,0.5304,0.7814,0.3177,0.0,0.0223,,
M4 TVAE,61,0.8791,1.0,0.7996,0.7795,0.827,0.3887,0.0,0.0144,,
M5 MST-DP,61,0.8529,0.9998,0.9199,0.8394,0.8448,0.3876,0.0,0.5599,,
M1 HMA-GC,62,0.8843,1.0,0.9362,0.7405,0.8683,0.3881,0.0,0.0754,,
M2 CTGAN,62,0.8356,0.9998,0.837,0.5655,0.9063,0.395,0.0009,0.0101,,
M3 PAR,62,0.6196,0.7403,0.7818,0.5511,0.7809,0.3233,0.0,0.0426,,
M4 TVAE,62,0.877,1.0,0.7902,0.7818,0.8201,0.3741,0.0,0.0294,,
M5 MST-DP,62,0.8378,0.9996,0.9225,0.8177,0.8447,0.3865,0.0,0.5408,,
M1 HMA-GC,63,0.8795,1.0,0.942,0.7306,0.8664,0.3757,0.0,0.0851,,
M2 CTGAN,63,0.8503,1.0,0.8351,0.5686,0.9089,0.3864,0.018,0.014,,
M3 PAR,63,0.6393,0.7398,0.7806,0.5444,0.7852,0.3057,0.0,0.0451,,
M4 TVAE,63,0.8847,1.0,0.7884,0.7792,0.8309,0.3922,0.0,0.039,,
M5 MST-DP,63,0.8493,0.9996,0.9245,0.8358,0.8449,0.3864,0.0,0.5728,,
M1 HMA-GC,64,0.876,1.0,0.941,0.7169,0.865,0.3664,0.0,0.075,,
M2 CTGAN,64,0.8491,0.9999,0.84,0.5577,0.9074,0.395,0.0023,0.0095,,
M3 PAR,64,0.6447,0.7441,0.7816,0.5503,0.7802,0.282,0.0,0.0428,,
M4 TVAE,64,0.8754,1.0,0.7912,0.7737,0.8251,0.3963,0.0,0.0253,,
M5 MST-DP,64,0.8534,0.9996,0.9247,0.838,0.8395,0.3977,0.0,0.5836,,
M1 HMA-GC,65,0.8819,1.0,0.9412,0.7189,0.8677,0.4002,0.0,0.0809,,
M2 CTGAN,65,0.8473,0.9995,0.8286,0.5643,0.9083,0.3889,0.0261,0.0126,,
M3 PAR,65,0.6359,0.7418,0.777,0.5385,0.7854,0.3152,0.0,0.0503,,
M4 TVAE,65,0.8761,1.0,0.7829,0.775,0.8245,0.3811,0.0,0.0294,,
M5 MST-DP,65,0.8516,0.9996,0.9277,0.8461,0.8484,0.3963,0.0,0.5845,,
M1 HMA-GC,66,0.884,1.0,0.9346,0.746,0.8656,0.3762,0.0,0.0862,,
M2 CTGAN,66,0.8469,0.9999,0.8344,0.5699,0.9074,0.3948,0.0212,0.0069,,
M3 PAR,66,0.6421,0.7441,0.7867,0.5504,0.783,0.3085,0.0,0.0326,,
M4 TVAE,66,0.8773,1.0,0.7794,0.7702,0.8257,0.3917,0.0,0.0262,,
M5 MST-DP,66,0.8488,0.9997,0.929,0.8361,0.8514,0.3803,0.0,0.558,,
M1 HMA-GC,67,0.8705,0.9999,0.9342,0.7314,0.8619,0.3907,0.0,0.0799,,
M2 CTGAN,67,0.8558,0.9997,0.8348,0.5567,0.9073,0.3843,0.0456,0.0182,,
M3 PAR,67,0.5738,0.7397,0.7824,0.5405,0.7817,0.325,0.0,0.0327,,
M4 TVAE,67,0.8869,1.0,0.7902,0.7849,0.8246,0.3855,0.0,0.0298,,
M5 MST-DP,67,0.9294,0.9995,0.92,0.8104,0.8477,0.3834,0.0,0.5679,,
M1 HMA-GC,68,0.8775,1.0,0.9394,0.7347,0.8644,0.3795,0.0,0.0975,,
M2 CTGAN,68,0.8402,1.0,0.8356,0.5665,0.9069,0.3974,0.0475,0.0078,,
M3 PAR,68,0.6332,0.742,0.7788,0.5484,0.783,0.3234,0.0,0.0404,,
M4 TVAE,68,0.8783,1.0,0.7937,0.7755,0.8292,0.38,0.0,0.037,,
M5 MST-DP,68,0.8506,0.9996,0.9268,0.8299,0.8509,0.3884,0.0,0.5876,,
M1 HMA-GC,69,0.8769,1.0,0.936,0.7455,0.8647,0.3888,0.0,0.0648,,
M2 CTGAN,69,0.8373,0.9999,0.8351,0.5712,0.9065,0.4041,0.1614,0.0129,,
M3 PAR,69,0.6257,0.7411,0.7845,0.5482,0.7806,0.2786,0.0,0.0528,,
M4 TVAE,69,0.8676,1.0,0.7922,0.7721,0.8235,0.4075,0.0,0.0174,,
M5 MST-DP,69,0.8473,0.9997,0.928,0.8495,0.8474,0.3852,0.0,0.5499,,
M1 HMA-GC,70,0.8861,0.9983,0.9377,0.7384,0.8644,0.3852,0.0,0.0753,,
M2 CTGAN,70,0.8368,0.9989,0.8348,0.5731,0.9066,0.4006,0.0007,0.016,,
M3 PAR,70,0.6357,0.7427,0.7875,0.5367,0.7851,0.3186,0.0,0.0507,,
M4 TVAE,70,0.8703,0.9995,0.7954,0.779,0.8226,0.3994,0.0,0.0291,,
M5 MST-DP,70,0.8534,0.9995,0.9298,0.8271,0.8471,0.3862,0.0,0.584,,
M1 HMA-GC,71,0.8827,0.9999,0.9358,0.7277,0.8662,0.3645,0.0,0.0718,,
M2 CTGAN,71,0.8347,0.9992,0.8386,0.5605,0.9061,0.3897,0.0007,0.0125,,
M3 PAR,71,0.6397,0.7434,0.7941,0.5449,0.7829,0.3104,0.0,0.0487,,
M4 TVAE,71,0.8757,0.9998,0.7925,0.7787,0.8235,0.3935,0.0,0.0297,,
M5 MST-DP,71,0.8468,0.9995,0.9262,0.8344,0.8481,0.3925,0.0,0.5643,,
M1 HMA-GC,72,0.8644,0.9999,0.9371,0.731,0.8641,0.3868,0.0,0.0927,,
M2 CTGAN,72,0.847,0.9997,0.8375,0.5662,0.908,0.3849,0.0242,0.026,,
M3 PAR,72,0.5665,0.739,0.7831,0.5359,0.7803,0.3153,0.0,0.0594,,
M4 TVAE,72,0.8828,1.0,0.7912,0.7791,0.8287,0.4009,0.0,0.0286,,
M5 MST-DP,72,0.9225,0.9996,0.929,0.8319,0.8481,0.3879,0.0,0.5627,,
M1 HMA-GC,73,0.8768,1.0,0.9359,0.7463,0.8667,0.3871,0.0,0.0924,,
M2 CTGAN,73,0.8615,0.9998,0.8357,0.5742,0.9063,0.4021,0.0025,0.0104,,
M3 PAR,73,0.5723,0.7382,0.7759,0.5286,0.7798,0.3235,0.0,0.0346,,
M4 TVAE,73,0.8886,1.0,0.7891,0.7832,0.8299,0.4047,0.0,0.036,,
M5 MST-DP,73,0.9294,0.9996,0.9255,0.8208,0.8441,0.393,0.0,0.5888,,
M1 HMA-GC,74,0.8826,1.0,0.936,0.7363,0.8615,0.3818,0.0,0.0698,,
M2 CTGAN,74,0.847,0.9997,0.8403,0.5623,0.9094,0.3908,0.0085,0.0053,,
M3 PAR,74,0.6398,0.7406,0.7788,0.5333,0.7859,0.3058,0.0,0.0245,,
M4 TVAE,74,0.8791,1.0,0.7953,0.785,0.8257,0.3822,0.0,0.02,,
M5 MST-DP,74,0.8519,0.9996,0.924,0.8274,0.8455,0.371,0.0,0.5814,,
M1 HMA-GC,75,0.8815,0.9999,0.9388,0.735,0.8645,0.3915,0.0,0.0723,,
M2 CTGAN,75,0.8309,0.9996,0.8406,0.5644,0.9073,0.4021,0.0006,0.0148,,
M3 PAR,75,0.6381,0.7416,0.7876,0.5565,0.7812,0.2874,0.0,0.037,,
M4 TVAE,75,0.8701,1.0,0.7993,0.7929,0.8175,0.4072,0.0,0.0303,,
M5 MST-DP,75,0.8367,0.9996,0.9245,0.8058,0.8385,0.3991,0.0,0.578,,
M1 HMA-GC,76,0.8821,0.9955,0.9375,0.7159,0.8654,0.4023,0.0,0.0656,,
M2 CTGAN,76,0.848,0.9991,0.8445,0.5621,0.9078,0.411,0.0034,0.0072,,
M3 PAR,76,0.6458,0.7452,0.7872,0.5465,0.7815,0.3247,0.0,0.0365,,
M4 TVAE,76,0.8808,0.999,0.7968,0.7824,0.8249,0.3944,0.0,0.0113,,
M5 MST-DP,76,0.8548,0.9996,0.9245,0.8221,0.8488,0.4179,0.0,0.563,,
M1 HMA-GC,77,0.8761,1.0,0.9344,0.7331,0.8642,0.3742,0.0,0.0947,,
M2 CTGAN,77,0.8417,0.9999,0.8408,0.5727,0.906,0.3869,0.0203,0.0112,,
M3 PAR,77,0.6311,0.7471,0.7796,0.5408,0.7839,0.2831,0.0,0.0471,,
M4 TVAE,77,0.8775,1.0,0.8043,0.7925,0.8218,0.3897,0.0,0.039,,
M5 MST-DP,77,0.8485,0.9996,0.9209,0.8364,0.8465,0.3724,0.0,0.5883,,
M1 HMA-GC,78,0.8684,0.9999,0.9366,0.7315,0.8643,0.3781,0.0,0.0774,,
M2 CTGAN,78,0.8616,0.9993,0.8358,0.5756,0.9057,0.4023,0.0327,0.0197,,
M3 PAR,78,0.5785,0.7425,0.7726,0.546,0.7812,0.301,0.0,0.0452,,
M4 TVAE,78,0.8837,0.9999,0.7894,0.775,0.8213,0.3923,0.0,0.036,,
M5 MST-DP,78,0.923,0.9995,0.9237,0.8007,0.8442,0.3861,0.0,0.5881,,
M1 HMA-GC,79,0.8819,1.0,0.9402,0.7373,0.865,0.3768,0.0,0.0815,,
M2 CTGAN,79,0.8331,0.9997,0.8328,0.5621,0.9059,0.409,0.0166,0.0019,,
M3 PAR,79,0.634,0.7406,0.7766,0.5326,0.7821,0.3091,0.0,0.0356,,
M4 TVAE,79,0.877,1.0,0.7885,0.7938,0.8241,0.3996,0.0,0.0342,,
M5 MST-DP,79,0.8464,0.9996,0.9269,0.8259,0.8426,0.3996,0.0,0.5657,,
M1 HMA-GC,80,0.8818,1.0,0.9428,0.7213,0.8634,0.3781,0.0,0.0843,,
M2 CTGAN,80,0.847,1.0,0.843,0.5688,0.9094,0.3809,0.002,0.0163,,
M3 PAR,80,0.648,0.7464,0.7873,0.5542,0.7793,0.2911,0.0,0.0514,,
M4 TVAE,80,0.8785,1.0,0.7895,0.7687,0.8277,0.3868,0.0,0.0389,,
M5 MST-DP,80,0.8533,0.9996,0.9267,0.8416,0.8439,0.3938,0.0,0.5741,,
M1 HMA-GC,81,0.8821,0.999,0.9387,0.7347,0.8655,0.3857,0.0,0.074,,
M2 CTGAN,81,0.8559,1.0,0.8418,0.5585,0.9084,0.381,0.0094,0.0136,,
M3 PAR,81,0.6405,0.7411,0.7866,0.5572,0.7813,0.2962,0.0,0.0537,,
M4 TVAE,81,0.8833,0.9988,0.7894,0.7903,0.8228,0.3824,0.0,0.0316,,
M5 MST-DP,81,0.855,0.9997,0.9232,0.845,0.8503,0.3799,0.0,0.5646,,
M1 HMA-GC,82,0.8709,1.0,0.9355,0.7378,0.8643,0.3724,0.0,0.0808,,
M2 CTGAN,82,0.8541,0.9995,0.8347,0.5556,0.9111,0.3965,0.0001,0.0067,,
M3 PAR,82,0.581,0.7408,0.7822,0.5455,0.7795,0.2932,0.0,0.0387,,
M4 TVAE,82,0.8836,0.9999,0.7885,0.7732,0.8292,0.3754,0.0,0.0271,,
M5 MST-DP,82,0.9319,0.9997,0.9227,0.8448,0.8499,0.3804,0.0,0.54,,
M1 HMA-GC,83,0.8745,0.9992,0.9357,0.7387,0.8629,0.3835,0.0,0.0746,,
M2 CTGAN,83,0.8591,0.9995,0.8393,0.5506,0.9091,0.3834,0.0037,0.025,,
M3 PAR,83,0.5757,0.7414,0.7795,0.5497,0.7796,0.2971,0.0,0.0594,,
M4 TVAE,83,0.8876,1.0,0.7904,0.7717,0.8288,0.3903,0.0,0.0427,,
M5 MST-DP,83,0.9305,0.9998,0.9208,0.8442,0.842,0.3728,0.0,0.5846,,
M1 HMA-GC,84,0.8706,1.0,0.9368,0.7448,0.8636,0.385,0.0,0.0666,,
M2 CTGAN,84,0.8632,0.9997,0.8385,0.5841,0.9078,0.3897,0.0277,0.0053,,
M3 PAR,84,0.5818,0.7433,0.7815,0.5357,0.7843,0.3038,0.0,0.0332,,
M4 TVAE,84,0.889,1.0,0.7934,0.776,0.8257,0.38,0.0,0.0204,,
M5 MST-DP,84,0.9333,0.9997,0.9275,0.8379,0.8481,0.3736,0.0,0.5438,,
M1 HMA-GC,85,0.8743,1.0,0.9376,0.7416,0.8635,0.396,0.0,0.0816,,
M2 CTGAN,85,0.8604,0.9997,0.8416,0.56,0.9075,0.4091,0.0,0.0038,,
M3 PAR,85,0.5753,0.7413,0.7807,0.5487,0.7837,0.2819,0.0,0.0324,,
M4 TVAE,85,0.8861,1.0,0.7894,0.769,0.8268,0.4029,0.0,0.0218,,
M5 MST-DP,85,0.9277,0.9996,0.9174,0.8298,0.8461,0.395,0.0,0.5474,,
M1 HMA-GC,86,0.8838,1.0,0.9404,0.7373,0.8655,0.3636,0.0,0.0778,,
M2 CTGAN,86,0.8454,0.9998,0.8319,0.5637,0.9103,0.4013,0.0059,0.0118,,
M3 PAR,86,0.6348,0.7354,0.7872,0.5461,0.7795,0.3217,0.0,0.0255,,
M4 TVAE,86,0.8806,0.9995,0.7936,0.7841,0.8254,0.3816,0.0,0.0199,,
M5 MST-DP,86,0.855,0.9995,0.9305,0.8359,0.8451,0.3925,0.0,0.5787,,
M1 HMA-GC,87,0.8823,1.0,0.9374,0.7208,0.8635,0.3812,0.0,0.0725,,
M2 CTGAN,87,0.843,1.0,0.8432,0.5646,0.9065,0.4024,0.021,0.0178,,
M3 PAR,87,0.6462,0.7447,0.7836,0.5467,0.7803,0.3042,0.0,0.0558,,
M4 TVAE,87,0.8779,1.0,0.8033,0.7653,0.8225,0.3938,0.0,0.0305,,
M5 MST-DP,87,0.8556,0.9997,0.9235,0.8512,0.8446,0.3994,0.0,0.5517,,
M1 HMA-GC,88,0.8791,1.0,0.9366,0.742,0.8641,0.3825,0.0,0.0762,,
M2 CTGAN,88,0.8463,0.9998,0.8405,0.5533,0.9063,0.3896,0.0253,0.0152,,
M3 PAR,88,0.646,0.7424,0.7839,0.5434,0.7803,0.3088,0.0,0.0334,,
M4 TVAE,88,0.8774,1.0,0.7878,0.7756,0.8266,0.3982,0.0,0.0353,,
M5 MST-DP,88,0.849,0.9995,0.9254,0.8144,0.8492,0.3885,0.0,0.5736,,
M1 HMA-GC,89,0.876,1.0,0.9445,0.7301,0.8633,0.3841,0.0,0.0885,,
M2 CTGAN,89,0.861,0.9993,0.8354,0.5593,0.9077,0.3889,0.001,0.0177,,
M3 PAR,89,0.5814,0.7451,0.7794,0.5509,0.7823,0.2891,0.0,0.0582,,
M4 TVAE,89,0.8891,0.9999,0.7885,0.7713,0.8264,0.381,0.0,0.0362,,
M5 MST-DP,89,0.9343,0.9997,0.925,0.8388,0.8465,0.3892,0.0,0.5717,,
M1 HMA-GC,90,0.8862,0.9992,0.9331,0.7424,0.8653,0.3663,0.0,0.0701,,
M2 CTGAN,90,0.8552,0.9998,0.844,0.56,0.9099,0.3768,0.0041,0.0128,,
M3 PAR,90,0.6406,0.7393,0.7842,0.5407,0.7841,0.2978,0.0,0.0458,,
M4 TVAE,90,0.8848,0.999,0.7953,0.764,0.826,0.3881,0.0,0.0272,,
M5 MST-DP,90,0.8566,0.9997,0.9179,0.8495,0.8491,0.3797,0.0,0.5684,,
M1 HMA-GC,91,0.8795,0.9999,0.932,0.7326,0.8631,0.3887,0.0,0.0809,,
M2 CTGAN,91,0.8309,0.9996,0.8359,0.5646,0.9054,0.3967,0.0008,0.0002,,
M3 PAR,91,0.6348,0.7465,0.7894,0.548,0.7793,0.2932,0.0,0.0394,,
M4 TVAE,91,0.871,1.0,0.7895,0.7769,0.8213,0.3946,0.0,0.0242,,
M5 MST-DP,91,0.8501,0.9997,0.9188,0.8558,0.8461,0.3934,0.0,0.566,,
M1 HMA-GC,92,0.8796,1.0,0.9371,0.7386,0.8672,0.3776,0.0,0.0798,,
M2 CTGAN,92,0.8528,0.9998,0.8391,0.5648,0.9082,0.4029,0.0332,0.0073,,
M3 PAR,92,0.6299,0.7408,0.7788,0.5398,0.784,0.3085,0.0,0.0542,,
M4 TVAE,92,0.8785,1.0,0.7975,0.7747,0.8256,0.3927,0.0,0.0233,,
M5 MST-DP,92,0.8557,0.9996,0.9223,0.8259,0.8504,0.3846,0.0,0.5588,,
M1 HMA-GC,93,0.87,1.0,0.9383,0.7376,0.8608,0.3794,0.0,0.0731,,
M2 CTGAN,93,0.8437,0.9992,0.835,0.5667,0.9057,0.4011,0.0018,0.0036,,
M3 PAR,93,0.5781,0.7514,0.7795,0.5472,0.7845,0.3182,0.0,0.0349,,
M4 TVAE,93,0.8847,0.9999,0.7993,0.7783,0.8337,0.4013,0.0,0.0312,,
M5 MST-DP,93,0.921,0.9996,0.9234,0.8289,0.8454,0.3967,0.0,0.5595,,
M1 HMA-GC,94,0.8811,1.0,0.9329,0.7315,0.8715,0.3655,0.0,0.0962,,
M2 CTGAN,94,0.851,0.9995,0.8377,0.5524,0.911,0.3771,0.05,0.0098,,
M3 PAR,94,0.6446,0.7402,0.785,0.5509,0.7804,0.2852,0.0,0.0334,,
M4 TVAE,94,0.8794,1.0,0.7958,0.7756,0.8221,0.3846,0.0,0.0391,,
M5 MST-DP,94,0.8532,0.9996,0.9229,0.8486,0.8457,0.3765,0.0,0.571,,
M1 HMA-GC,95,0.8845,0.9999,0.9333,0.7324,0.8664,0.3873,0.0,0.0627,,
M2 CTGAN,95,0.8477,0.9997,0.8327,0.5589,0.9096,0.4069,0.0047,0.0028,,
M3 PAR,95,0.6429,0.7402,0.7826,0.5367,0.7831,0.3193,0.0,0.0684,,
M4 TVAE,95,0.8829,0.9999,0.7918,0.7775,0.8222,0.3885,0.0,0.0225,,
M5 MST-DP,95,0.848,0.9995,0.925,0.8166,0.8436,0.3933,0.0,0.5411,,
M1 HMA-GC,96,0.8756,1.0,0.9416,0.7316,0.8665,0.372,0.0,0.0949,,
M2 CTGAN,96,0.8384,0.9994,0.8372,0.5691,0.9093,0.3947,0.0036,0.0084,,
M3 PAR,96,0.635,0.7333,0.7849,0.5529,0.7818,0.2895,0.0,0.0419,,
M4 TVAE,96,0.8746,1.0,0.797,0.7886,0.8227,0.3824,0.0,0.0221,,
M5 MST-DP,96,0.8466,0.9993,0.9255,0.839,0.8442,0.3855,0.0,0.5928,,
M1 HMA-GC,97,0.8743,0.9987,0.9361,0.7245,0.866,0.3882,0.0,0.0818,,
M2 CTGAN,97,0.8454,0.9998,0.8363,0.5642,0.9077,0.4047,0.0001,0.0042,,
M3 PAR,97,0.6407,0.7415,0.7866,0.5586,0.7828,0.3105,0.0,0.0362,,
M4 TVAE,97,0.8831,0.9993,0.7911,0.7865,0.8271,0.4065,0.0,0.0297,,
M5 MST-DP,97,0.8527,0.9997,0.9183,0.838,0.8492,0.3871,0.0,0.5789,,
M1 HMA-GC,98,0.8717,1.0,0.9357,0.7271,0.8627,0.3821,0.0,0.0766,,
M2 CTGAN,98,0.8606,1.0,0.8384,0.5629,0.9076,0.3875,0.0115,0.0154,,
M3 PAR,98,0.5792,0.739,0.7805,0.5264,0.7831,0.2823,0.0,0.0448,,
M4 TVAE,98,0.8838,1.0,0.7897,0.7602,0.8274,0.3936,0.0,0.0391,,
M5 MST-DP,98,0.9311,0.9997,0.9225,0.8384,0.8484,0.4042,0.0,0.5774,,
M1 HMA-GC,99,0.8817,0.9999,0.9381,0.7341,0.8639,0.3933,0.0,0.0765,,
M2 CTGAN,99,0.8351,0.9997,0.8389,0.5628,0.9057,0.4107,0.0131,0.0079,,
M3 PAR,99,0.6386,0.7429,0.7826,0.527,0.78,0.3213,0.0,0.0544,,
M4 TVAE,99,0.8728,1.0,0.7974,0.7822,0.8241,0.4331,0.0,0.0377,,
M5 MST-DP,99,0.8453,0.9996,0.9208,0.8229,0.8429,0.3952,0.0,0.5495,,
M1 HMA-GC,100,0.875,1.0,0.9342,0.736,0.8658,0.3793,0.0,0.0919,,
M2 CTGAN,100,0.8599,1.0,0.8343,0.5715,0.9064,0.396,0.0004,0.0162,,
M3 PAR,100,0.5845,0.7429,0.7805,0.5447,0.7827,0.2915,0.0,0.0628,,
M4 TVAE,100,0.8885,1.0,0.7895,0.7887,0.8248,0.3884,0.0,0.0396,,
M5 MST-DP,100,0.9323,0.9996,0.9266,0.8429,0.8499,0.3826,0.0,0.5567,,
M1 HMA-GC,101,0.884,1.0,0.9389,0.7236,0.8657,0.3766,0.0,0.0799,,
M2 CTGAN,101,0.8427,1.0,0.8387,0.559,0.907,0.3867,0.0106,0.019,,
M3 PAR,101,0.6415,0.7506,0.7812,0.535,0.7845,0.2978,0.0,0.032,,
M4 TVAE,101,0.8811,1.0,0.7908,0.7825,0.8255,0.3916,0.0,0.0255,,
M5 MST-DP,101,0.8491,0.9997,0.927,0.8371,0.8491,0.381,0.0,0.5794,,
M1 HMA-GC,102,0.8646,0.9999,0.9403,0.7249,0.8605,0.3856,0.0,0.0723,,
M2 CTGAN,102,0.8367,0.9994,0.834,0.5584,0.9082,0.3854,0.0017,0.0057,,
M3 PAR,102,0.5741,0.7444,0.7835,0.5521,0.7825,0.2907,0.0,0.0454,,
M4 TVAE,102,0.8859,0.9999,0.7884,0.7775,0.8313,0.3931,0.0,0.0213,,
M5 MST-DP,102,0.9234,0.9995,0.9244,0.8413,0.8456,0.3807,0.0,0.5686,,
M1 HMA-GC,103,0.8792,0.9999,0.936,0.7354,0.8636,0.3903,0.0,0.0736,,
M2 CTGAN,103,0.8409,0.9994,0.8357,0.5529,0.9065,0.412,0.0242,0.0142,,
M3 PAR,103,0.6456,0.7386,0.7807,0.5257,0.7842,0.3101,0.0,0.0235,,
